4	0.0008	3.2
8	0.0035	4.9
16	0.0156	6.6
32	0.0546	8.3
64	0.1501	9.3
128	0.2531	10.7
256	0.2931	12.7
512	0.2871	13.6
1024	0.2696	15.0
2048	0.3011	16.3
4096	0.3119	17.9
8192	0.3180	19.2
16384	0.3006	20.5
